Category,Disease,Ranked_lifestyles
Cardiovascular,Pulmonary_embolism,"Cereal intake, Coffee intake, Days/week of walk 10+ mins, Age first had sexual intercourse, Drive faster than limit: Never/rarely, Salt added: Never/rarely, Days/week of moderate physical activity, Water intake, Days/week of vigorous physical activity, Bread intake, Tea intake, Time spent using computer, Time spent outdoors in winter, Diet variation: Never/rarely, Sun protection: Most times, Drive faster: Sometimes, Time spent watching TV, Ever smoked: Yes, Hair colour: Light brown, Spread: Other margarine, Fresh fruit intake, Sleep duration, Mobile use vs 2yrs: No, Dried fruit intake, Time spent outdoors in summer"
Cardiovascular,Raynaud_syndrome,"Time spent outdoors in summer, Bread intake, Time spent using computer, Time spent watching TV, Cereal intake, Coffee intake, Beef: <1/week, Walking pace: Brisk, Days/week of walk 10+ mins, Milk: Semi-skimmed, Hair colour: Dark brown, Raw vegetable intake, Snoring: Yes, Days/week of vigorous physical activity, Salt added: Never/rarely, Drive faster: Sometimes, Alcohol vs 10yrs ago: Less now, Oily fish: <1/week, Age first had sexual intercourse, Pork: <1/week, Fresh fruit intake, Sleep duration, Facial ageing: Younger than you are, Water intake, Poultry: 1/week"
Cardiovascular,Right_bundle_branch_block,"Time spent watching TV, Tea intake, Time spent outdoors in summer, Smoking: Never, Fresh fruit intake, Mobile use: More than eight years, Time spent using computer, Alcohol vs 10yrs ago: About the same, Water intake, Bread intake, Days/week of vigorous physical activity, Smoking: Previous, Mother: High blood pressure, Duration of walks, Non-oily fish: 1/week, Sleep duration, Time spent outdoors in winter, Past smoking: Never, Diet change: Yes (other), Sun protection: Most times, Hair colour: Dark brown, Coffee intake, Diet variation: Sometimes, Mobile freq: 5-29 mins, Walking pace: Steady/average"
Cardiovascular,Stable_angina,"Mother: Heart disease, Father: Heart disease, Walking pace: Brisk, Days/week of moderate physical activity, Time spent watching TV, Diet change: No, Diet change: Yes (illness), Daytime nap: Never/rarely, Skin tanning: Get very tanned, Dried fruit intake, Days/week of vigorous physical activity, Ever smoked: Yes, Cheese: <1/week, Get up: Very easy, Mother: High blood pressure, Duration of walks, Mobile use: Five to eight years, Time spent outdoors in winter, Smoking: Never, Time spent outdoors in summer, Snoring: Yes, Days/week of walk 10+ mins, Daytime dozing: Never/rarely, Insomnia: Usually, Fresh fruit intake"
Cardiovascular,Supraventricular_tachycardia,"Time spent watching TV, Days/week of vigorous physical activity, Duration of walks, Smoking: Previous, Cooked vegetable intake, Hair colour: Dark brown, Days/week of walk 10+ mins, Cereal intake, Ever smoked: Yes, Water intake, Coffee intake, Get up: Fairly easy, Time spent outdoors in summer, Sleep duration, Bread intake, Tea intake, Days/week of moderate physical activity, Salt added: Never/rarely, Milk: Semi-skimmed, Sun protection: Most times, Mobile hand: Left, Fresh fruit intake, Spread: Butter, Time spent driving, Age first had sexual intercourse"
Cardiovascular,Transient_ischaemic_attack,"Days/week of moderate physical activity, Daytime nap: Never/rarely, Time spent outdoors in summer, Time spent watching TV, Coffee intake, Days/week of vigorous physical activity, Raw vegetable intake, Insomnia: Sometimes, Dried fruit intake, Daytime nap: Sometimes, Ever smoked: No, Cereal intake, Chronotype: More morning, Snoring: Yes, Walking pace: Steady/average, Walking pace: Brisk, Bread: Wholemeal, Days/week of walk 10+ mins, Water intake, Time spent using computer, Smoking: Previous, Bread intake, Insomnia: Usually, Milk: Semi-skimmed, Smoking: Never"
Cardiovascular,Unstable_Angina,"Bread intake, Time spent watching TV, Time spent outdoors in winter, Water intake, Days/week of walk 10+ mins, Insomnia: Sometimes, Cereal intake, Salt added: Sometimes, Time spent driving, Fresh fruit intake, Duration of walks, Tea intake, Daytime nap: Never/rarely, Ever smoked: Yes, Days/week of moderate physical activity, Daytime nap: Sometimes, Past smoking: Never, Poultry: 2-4/week, Coffee intake, Facial ageing: Younger than you are, Time spent outdoors in summer, Diet change: No, Days/week of vigorous physical activity, Sleep duration, Father: Heart disease"
Cardiovascular,Venous_thromboembolic_disease,"Time spent outdoors in summer, Time spent watching TV, Mother: High blood pressure, Time spent using computer, Non-oily fish: <1/week, Days/week of walk 10+ mins, Diet change: No, Past smoking: Never, Fresh fruit intake, Bread intake, Water intake, Days/week of vigorous physical activity, Salt added: Sometimes, Ever smoked: No, Facial ageing: Younger than you are, Cooked vegetable intake, Cereal intake, Daytime nap: Never/rarely, Hair colour: Light brown, Time spent outdoors in winter, Mobile use: More than eight years, Poultry: 1/week, Snoring: Yes, Skin colour: Fair, Bread: Wholemeal"
Digestive,Abdominal_Hernia,"Water intake, Bread intake, Days/week of vigorous physical activity, Get up: Fairly easy, Snoring: No, Hair colour: Light brown, Facial ageing: Younger than you are, Cereal intake, Hands-free use: Never or almost never, Sun protection: Sometimes, Beef: <1/week, Bread: White, Daytime nap: Never/rarely, Daytime nap: Sometimes, Sleep duration, Alcohol vs 10yrs ago: Less now, Skin colour: Fair, Mobile hand: Right, Mobile freq: 5-29 mins, Sun protection: Always, Time spent watching TV, Facial ageing: About your age, Alcohol: Daily, Lamb/mutton: 1/week, Mobile use vs 2yrs: More now"
Digestive,Anal_fissure,"Father: Heart disease, Drive faster: Sometimes, Tea intake, Time spent watching TV, Cooked vegetable intake, Mobile hand: Right, Spread: Other margarine, Cereal intake, Coffee intake, Smokers in household: No, Pork: <1/week, Sleep duration, Processed meat: 1/week, Days/week of moderate physical activity, Days/week of walk 10+ mins, Days/week of vigorous physical activity, Mobile use vs 2yrs: No, Stair climbing: 11-15 times, Diet change: Yes (other), Smoking: Previous, Stair climbing: 6-10 times, Processed meat: 2-4/week, Spread: Butter, Walking pace: Steady/average, Time spent outdoors in winter"
Digestive,Barrett_oesophagus,"Time spent watching TV, Tea intake, Days/week of vigorous physical activity, Walking pace: Brisk, Time spent outdoors in winter, Days/week of moderate physical activity, Fresh fruit intake, Drive faster: Sometimes, Insomnia: Usually, Sleep duration, Raw vegetable intake, Hot drink temp: Hot, Facial ageing: Younger than you are, Duration of walks, Bread intake, Daytime nap: Never/rarely, Time spent outdoors in summer, Diet change: Yes (other), Cereal: Muesli, Cereal intake, Skin tanning: Get very tanned, Poultry: 2-4/week, Pork: <1/week, Days/week of walk 10+ mins, Water intake"
Digestive,Cholecystitis,"Coffee intake, Non-oily fish: 1/week, Time spent outdoors in winter, Water intake, Beef: 1/week, Spread: Butter, Walking pace: Brisk, Salt added: Sometimes, Alcohol vs 10yrs ago: Less now, Drive faster than limit: Never/rarely, Non-oily fish: <1/week, Cereal intake, Alcohol vs 10yrs ago: More now, Time spent driving, Lamb/mutton: <1/week, Drive faster: Sometimes, Age first had sexual intercourse, Pork: <1/week, Duration of walks, Snoring: No, Sleep duration, Time spent outdoors in summer, Days/week of vigorous physical activity, Time spent watching TV, Days/week of walk 10+ mins"
Digestive,Cholelithiasis,"Time spent watching TV, Coffee intake, Bread intake, Time spent using computer, Cooked vegetable intake, Cereal intake, Facial ageing: Younger than you are, Days/week of vigorous physical activity, Time spent outdoors in summer, Bread: Wholemeal, Stair climbing: 11-15 times, Days/week of walk 10+ mins, Alcohol: 3-4/week, Fresh fruit intake, Smoking: Never, Time spent driving, Mobile use vs 2yrs: No, Age first had sexual intercourse, Days/week of moderate physical activity, Mobile freq: Less than 5mins, Water intake, Sleep duration, Walking pace: Brisk, Diet variation: Sometimes, Alcohol: Daily"
Digestive,Diaphragmatic_hernia,"Insomnia: Usually, Get up: Fairly easy, Sun protection: Most times, Tea intake, Sun protection: Always, Stair climbing: 6-10 times, Time spent watching TV, Smoking: Never, Diet change: No, Poultry: 1/week, Walking pace: Steady/average, Insomnia: Never/rarely, Smoking: Previous, Raw vegetable intake, Drive faster than limit: Never/rarely, Past smoking: Most/all days, Cereal: Oat (Porridge), Sleep duration, Skin tanning: Never tan, only burn, Chronotype: Definite morning, Cheese: <1/week, Alcohol: 3-4/week, Oily fish: 2-4/week, Salt added: Sometimes, Time spent driving"
Digestive,Diverticular_disease_of_intestine,"Insomnia: Usually, Smoking: Previous, Bread: Wholemeal, Days/week of moderate physical activity, Smoking: Never, Time spent watching TV, Days/week of walk 10+ mins, Water intake, Time spent using computer, Mobile use: More than eight years, Beef: <1/week, Bread intake, Pork: Never, Pork: <1/week, Father: Heart disease, Insomnia: Never/rarely, Coffee intake, Ever smoked: No, Diet variation: Never/rarely, Days/week of vigorous physical activity, Raw vegetable intake, Hair colour: Dark brown, Alcohol: 1-2/week, Tea intake, Daytime dozing: Never/rarely"
Digestive,Fatty_Liver,"Days/week of moderate physical activity, Cereal intake, Time spent driving, Water intake, Diet change: Yes (other), Alcohol vs 10yrs ago: Less now, Days/week of walk 10+ mins, Smoking: Never, Bread intake, Non-oily fish: 1/week, Time spent outdoors in winter, Daytime nap: Never/rarely, Sleep duration, Duration of walks, Time spent watching TV, Hands-free use: Never or almost never, Time spent outdoors in summer, Dried fruit intake, Oily fish: 1/week, Tea intake, Coffee intake, Bread: Wholemeal, Sun protection: Most times, Days/week of vigorous physical activity, Diet change: No"
Digestive,Gastritis_and_duodenitis,"Tea intake, Time spent watching TV, Insomnia: Usually, Alcohol vs 10yrs ago: About the same, Days/week of walk 10+ mins, Smoking: Never, Insomnia: Never/rarely, Sleep duration, Age first had sexual intercourse, Diet change: Yes (illness), Coffee intake, Past smoking: Never, Daytime dozing: Sometimes, Snoring: No, Mobile hand: Left, Past smoking: Most/all days, Time spent using computer, Cooked vegetable intake, Days/week of vigorous physical activity, Snoring: Yes, Cheese: <1/week, Alcohol: 1-2/week, Bread: Wholemeal, Water intake, Daytime dozing: Never/rarely"
Digestive,Gastro_oesophageal_reflux_disease,"Tea intake, Time spent watching TV, Insomnia: Never/rarely, Insomnia: Usually, Cereal: Oat (Porridge), Walking pace: Brisk, Dried fruit intake, Snoring: Yes, Bread: Wholemeal, Duration of walks, Pork: <1/week, Age first had sexual intercourse, Father: Heart disease, Cereal: Other, Fresh fruit intake, Sleep duration, Snoring: No, Time spent outdoors in winter, Poultry: 2-4/week, Facial ageing: Younger than you are, Non-oily fish: 1/week, Days/week of vigorous physical activity, Cheese: <1/week, Water intake, Mother: Heart disease"
Digestive,Irritable_bowel_syndrome,"Drive faster than limit: Never/rarely, Days/week of moderate physical activity, Walking pace: Brisk, Coffee intake, Sleep duration, Diet change: No, Insomnia: Sometimes, Water intake, Time spent outdoors in winter, Time spent watching TV, Cheese: 2-4/week, Stair climbing: 6-10 times, Diet change: Yes (other), Bread: White, Insomnia: Never/rarely, Days/week of walk 10+ mins, Chronotype: More evening, Age first had sexual intercourse, Bread: Wholemeal, Days/week of vigorous physical activity, Insomnia: Usually, Cereal intake, Time spent using computer, Mother: High blood pressure, Alcohol: 3-4/week"
Digestive,Oesophagitis_and_oesophageal_ulcer,"Water intake, Insomnia: Usually, Time spent watching TV, Time spent outdoors in summer, Raw vegetable intake, Cheese: <1/week, Skin colour: Fair, Days/week of vigorous physical activity, Coffee intake, Hot drink temp: Hot, Cereal intake, Bread intake, Chronotype: More morning, Non-oily fish: 1/week, Facial ageing: Younger than you are, Diet change: No, Days/week of walk 10+ mins, Duration of walks, Time spent using computer, Mobile hand: Right, Salt added: Never/rarely, Sun protection: Most times, Insomnia: Sometimes, Skin tanning: Get very tanned, Smoking: Never"
Digestive,Peptic_ulcer_disease,"Time spent watching TV, Cereal intake, Bread intake, Water intake, Smoking: Never, Days/week of vigorous physical activity, Bread: Wholemeal, Tea intake, Days/week of moderate physical activity, Daytime nap: Sometimes, Time spent driving, Oily fish: 1/week, Diet variation: Never/rarely, Time spent outdoors in summer, Walking pace: Brisk, Drive faster: Sometimes, Days/week of walk 10+ mins, Coffee intake, Non-oily fish: <1/week, Cereal: Biscuit (Weetabix), Mother: High blood pressure, Salt added: Never/rarely, Poultry: 1/week, Stair climbing: 6-10 times, Ever smoked: No"
Ear,Hearing_loss,"Sleep duration, Tea intake, Fresh fruit intake, Spread: Butter, Past smoking: Most/all days, Bread: Wholemeal, Cereal intake, Daytime nap: Never/rarely, Days/week of moderate physical activity, Diet variation: Never/rarely, Time spent outdoors in summer, Skin colour: Fair, Poultry: 2-4/week, Non-oily fish: 1/week, Ever smoked: No, Spread: Other margarine, Days/week of vigorous physical activity, Walking pace: Brisk, Mobile hand: Right, Mother: Heart disease, Lamb/mutton: 1/week, Water intake, Stair climbing: 11-15 times, Mobile hand: Left, Mobile freq: 30-59 mins"
